XNXQ	KCH	KCM	XM
2013-2014-1	10421094	线性代数(1)	2013000028
2013-2014-1	10421094	线性代数(1)	2013000027
2013-2014-1	10421094	线性代数(1)	2013000004
2013-2014-1	10421094	线性代数(1)	2013000006
2013-2014-1	10421094	线性代数(1)	2013000001
2013-2014-1	10421094	线性代数(1)	2013000049
2013-2014-1	10421094	线性代数(1)	2013000047
2013-2014-1	10421094	线性代数(1)	2013000024
2013-2014-1	10421094	线性代数(1)	2013000035
2013-2014-1	10421075	微积分B(1)	2013000046
2013-2014-1	10421075	微积分B(1)	2013000044
2013-2014-1	10421055	微积分A(1)	2013000035
2013-2014-1	10421055	微积分A(1)	2013000048
2013-2014-1	10641022	学术英语听说（2）－综述	2013000048
2013-2014-1	00120052	科研思维方法	2013000047
2013-2014-1	00660232	全球化下的知识产权战略	2013000043
2013-2014-1	00420152	数学建模引论	2013000050
2013-2014-1	00420152	数学建模引论	2013000027
2013-2014-1	40660982	亲属与继承法	2013000023
2013-2014-1	20740042	计算机文化基础	2013000030
2013-2014-1	10641022	学术英语听说（2）－综述	2013000026
2013-2014-1	10440144	化学原理	2013000006
2013-2014-1	10450012	现代生物学导论	2013000039
2013-2014-1	10450034	普通生物学	2013000005
2013-2014-1	10450042	普通生物学实验	2013000015
2013-2014-1	00440101	纳米生物机器	2013000008
2013-2014-1	40220921	电气工程导论	2013000037
2013-2014-1	10510082	中文沟通	2013000019
2013-2014-1	10450012	现代生物学导论	2013000037
2013-2014-1	30230672	计算机程序设计基础（1）	2013000033
2013-2014-1	30020552	外国古代建筑史纲	2013000026
2013-2014-1	30030412	土木工程与工程管理概论	2013000029
2013-2014-1	30030412	土木工程与工程管理概论	2013000007
2013-2014-1	30350161	材料学概论	2013000003
2013-2014-1	30420124	高等代数与几何(1)	2013000022
2013-2014-1	20120143	工程制图基础	2013000029
2013-2014-1	20120143	工程制图基础	2013000043
2013-2014-1	20440314	无机与分析化学	2013000015
2013-2014-1	20440352	无机化学实验A(1)	2013000002
2013-2014-1	10720011	体育(1)	2013000042
2013-2014-1	10720011	体育(1)	2013000005
2013-2014-1	10720011	体育(1)	2013000022
2013-2014-1	10720011	体育(1)	2013000017
2013-2014-1	10720011	体育(1)	2013000015
2013-2014-1	10610183	思想道德修养与法律基础	2013000045
2013-2014-1	10440144	化学原理	2013000008
2013-2014-1	10440144	化学原理	2013000040
2013-2014-1	10421094	线性代数(1)	2013000030
2013-2014-1	10421094	线性代数(1)	2013000040
2013-2014-1	10421094	线性代数(1)	2013000033
2013-2014-1	10421075	微积分B(1)	2013000026
2013-2014-1	10421075	微积分B(1)	2013000018
2013-2014-1	10421075	微积分B(1)	2013000008
2013-2014-1	10421075	微积分B(1)	2013000015
2013-2014-1	10641012	学术英语听说（1）- 转述	2013000046
2013-2014-1	01030091	大学的历史与文化	2013000031
2013-2014-1	00782131	艺术欣赏导论	2013000008
2013-2014-1	30670333	新媒体导论	2013000038
2013-2014-1	10641012	学术英语听说（1）- 转述	2013000050
2013-2014-1	10641012	学术英语听说（1）- 转述	2013000007
2013-2014-1	10641082	学术英语读写（3）－文献综述	2013000041
2013-2014-1	10610183	思想道德修养与法律基础	2013000020
2013-2014-1	10641012	学术英语听说（1）- 转述	2013000008
2013-2014-1	10610183	思想道德修养与法律基础	2013000042
2013-2014-1	10610183	思想道德修养与法律基础	2013000041
2013-2014-1	00740143	Visual Basic 程序设计	2013000042
2013-2014-1	10440012	大学化学B	2013000010
2013-2014-1	10641072	学术英语读写（2）－议论文	2013000021
2013-2014-1	40511301	人生发展与职业规划(1)	2013000019
2013-2014-1	10440012	大学化学B	2013000007
2013-2014-1	10641082	学术英语读写（3）－文献综述	2013000019
2013-2014-1	10641072	学术英语读写（2）－议论文	2013000030
2013-2014-1	00310061	新军事变革与国防科学技术发展	2013000030
2013-2014-1	20740073	计算机程序设计基础	2013000003
2013-2014-1	10641032	学术英语听说（3）－讨论	2013000014
2013-2014-1	30240233	程序设计基础	2013000020
2013-2014-1	10440111	大学化学实验B	2013000010
2013-2014-1	10450012	现代生物学导论	2013000030
2013-2014-1	10430857	基础物理学原理与实验（1）	2013000010
2013-2014-1	20440574	无机与分析化学（英）	2013000016
2013-2014-1	10641072	学术英语读写（2）－议论文	2013000036
2013-2014-1	30340322	化学工程与高分子科学导论	2013000041
2013-2014-1	00680082	审美的历程	2013000036
2013-2014-1	20740042	计算机文化基础	2013000047
2013-2014-1	10450012	现代生物学导论	2013000047
2013-2014-1	30240233	程序设计基础	2013000021
2013-2014-1	30670493	新闻传播学引论	2013000038
2013-2014-1	30040401	水科学与工程概论	2013000046
2013-2014-1	30420124	高等代数与几何(1)	2013000045
2013-2014-1	30420124	高等代数与几何(1)	2013000032
2013-2014-1	30440121	化学现状与未来	2013000008
2013-2014-1	30450392	生命科学前沿	2013000015
2013-2014-1	20120273	工程图学	2013000042
2013-2014-1	20120273	工程图学	2013000041
2013-2014-1	10720011	体育(1)	2013000050
2013-2014-1	10720011	体育(1)	2013000048
2013-2014-1	10720011	体育(1)	2013000040
2013-2014-1	00750011	图书馆概论	2013000019
2013-2014-1	10440154	无机化学（生）	2013000005
2013-2014-1	10440154	无机化学（生）	2013000002
2013-2014-1	10440144	化学原理	2013000009
2013-2014-1	10421075	微积分B(1)	2013000003
2013-2014-1	10421075	微积分B(1)	2013000011
2013-2014-1	10421055	微积分A(1)	2013000021
2013-2014-1	10421055	微积分A(1)	2013000050
2013-2014-1	10421055	微积分A(1)	2013000023
2013-2014-1	20240013	离散数学(1)	2013000035
2013-2014-1	10641032	学术英语听说（3）－讨论	2013000031
2013-2014-1	S1510021	实验室科研探究（1）	2013000024
2013-2014-1	00050011	清洁生产导论	2013000047
2013-2014-1	30250023	计算机语言与程序设计	2013000048
2013-2014-1	10421055	微积分A(1)	2013000027
2013-2014-1	10421055	微积分A(1)	2013000042
2013-2014-1	10421055	微积分A(1)	2013000041
2013-2014-1	10641022	学术英语听说（2）－综述	2013000003
2013-2014-1	10641022	学术英语听说（2）－综述	2013000011
2013-2014-1	00350062	稀土功能材料	2013000001
2013-2014-1	10421055	微积分A(1)	2013000034
2013-2014-1	10641042	学术英语听说（4）－辩论	2013000010
2013-2014-1	00781261	合唱艺术(1)	2013000031
2013-2014-1	00782131	艺术欣赏导论	2013000012
2013-2014-1	10421094	线性代数(1)	2013000017
2013-2014-1	10641032	学术英语听说（3）－讨论	2013000024
2013-2014-1	10641032	学术英语听说（3）－讨论	2013000035
2013-2014-1	10450012	现代生物学导论	2013000029
2013-2014-1	30240233	程序设计基础	2013000045
2013-2014-1	30420405	数学分析(1)	2013000020
2013-2014-1	20740042	计算机文化基础	2013000006
2013-2014-1	10641042	学术英语听说（4）－辩论	2013000016
2013-2014-1	30450392	生命科学前沿	2013000011
2013-2014-1	10720011	体育(1)	2013000014
2013-2014-1	10440144	化学原理	2013000003
2013-2014-1	60640042	日语(第二外国语)(1)	2013000042
2013-2014-1	00680082	审美的历程	2013000048
2013-2014-1	10641082	学术英语读写（3）－文献综述	2013000038
2013-2014-1	30420384	抽象代数	2013000034
2013-2014-1	40320761	能源专家讲座	2013000049
2013-2014-1	30670502	英语新闻(1)	2013000038
2013-2014-1	30210041	信息科学技术概论	2013000033
2013-2014-1	30220392	计算机程序设计基础	2013000044
2013-2014-1	20440314	无机与分析化学	2013000014
2013-2014-1	20440314	无机与分析化学	2013000042
2013-2014-1	20440352	无机化学实验A(1)	2013000008
2013-2014-1	20440352	无机化学实验A(1)	2013000040
2013-2014-1	10720011	体育(1)	2013000009
2013-2014-1	10720011	体育(1)	2013000010
2013-2014-1	10720011	体育(1)	2013000034
2013-2014-1	10450042	普通生物学实验	2013000011
2013-2014-1	10421094	线性代数(1)	2013000041
2013-2014-1	10421094	线性代数(1)	2013000036
2013-2014-1	10421075	微积分B(1)	2013000047
2013-2014-1	10421055	微积分A(1)	2013000024
2013-2014-1	00420152	数学建模引论	2013000020
2013-2014-1	44000312	医学药学导论	2013000014
2013-2014-1	10641012	学术英语听说（1）- 转述	2013000040
2013-2014-1	10510072	中文写作	2013000017
2013-2014-1	01030091	大学的历史与文化	2013000038
2013-2014-1	00140122	能源与气候变化/可持续发展	2013000010
2013-2014-1	S1510031	实验室科研探究（2）	2013000049
2013-2014-1	10450012	现代生物学导论	2013000028
2013-2014-1	10510103	西方文明	2013000019
2013-2014-1	02070012	党的知识概论	2013000008
2013-2014-1	10720011	体育(1)	2013000045
2013-2014-1	02070071	大学生心理训练与潜能开发	2013000003
2013-2014-1	00050071	环境保护与可持续发展	2013000049
2013-2014-1	00450111	蛋白质组学	2013000016
2013-2014-1	10450012	现代生物学导论	2013000049
2013-2014-1	00240151	计算基因组分析	2013000021
2013-2014-1	30240233	程序设计基础	2013000035
2013-2014-1	10641012	学术英语听说（1）- 转述	2013000022
2013-2014-1	40021116	建筑设计(1)	2013000018
2013-2014-1	30020492	空间形体表达基础	2013000018
2013-2014-1	30030412	土木工程与工程管理概论	2013000050
2013-2014-1	30030412	土木工程与工程管理概论	2013000023
2013-2014-1	30030412	土木工程与工程管理概论	2013000028
2013-2014-1	30030412	土木工程与工程管理概论	2013000027
2013-2014-1	30210041	信息科学技术概论	2013000021
2013-2014-1	30210041	信息科学技术概论	2013000024
2013-2014-1	30220392	计算机程序设计基础	2013000037
2013-2014-1	30350161	材料学概论	2013000004
2013-2014-1	30350161	材料学概论	2013000001
2013-2014-1	30420095	高等微积分(1)	2013000032
2013-2014-1	30440121	化学现状与未来	2013000009
2013-2014-1	30450392	生命科学前沿	2013000013
2013-2014-1	20120143	工程制图基础	2013000007
2013-2014-1	20120152	工程图学基础	2013000037
2013-2014-1	20120163	机械设计基础(1)	2013000039
2013-2014-1	20120163	机械设计基础(1)	2013000047
2013-2014-1	10641192	基础英语(1)	2013000020
2013-2014-1	20440333	有机化学B	2013000011
2013-2014-1	20440333	有机化学B	2013000012
2013-2014-1	20440333	有机化学B	2013000044
2013-2014-1	20440333	有机化学B	2013000015
2013-2014-1	20440352	无机化学实验A(1)	2013000005
2013-2014-1	10720011	体育(1)	2013000029
2013-2014-1	10720011	体育(1)	2013000004
2013-2014-1	10720011	体育(1)	2013000001
2013-2014-1	10720011	体育(1)	2013000031
2013-2014-1	10720011	体育(1)	2013000033
2013-2014-1	10720011	体育(1)	2013000007
2013-2014-1	10720011	体育(1)	2013000026
2013-2014-1	10610183	思想道德修养与法律基础	2013000037
2013-2014-1	10610183	思想道德修养与法律基础	2013000021
2013-2014-1	10610183	思想道德修养与法律基础	2013000012
2013-2014-1	10610183	思想道德修养与法律基础	2013000015
2013-2014-1	10610183	思想道德修养与法律基础	2013000014
2013-2014-1	10610183	思想道德修养与法律基础	2013000019
2013-2014-1	10610183	思想道德修养与法律基础	2013000017
2013-2014-1	10610183	思想道德修养与法律基础	2013000003
2013-2014-1	10610183	思想道德修养与法律基础	2013000001
2013-2014-1	10610183	思想道德修养与法律基础	2013000040
2013-2014-1	10610183	思想道德修养与法律基础	2013000048
2013-2014-1	10450034	普通生物学	2013000012
2013-2014-1	10450034	普通生物学	2013000016
2013-2014-1	10450034	普通生物学	2013000013
2013-2014-1	10450034	普通生物学	2013000014
2013-2014-1	10440111	大学化学实验B	2013000003
2013-2014-1	10421094	线性代数(1)	2013000029
2013-2014-1	10421094	线性代数(1)	2013000046
2013-2014-1	10421094	线性代数(1)	2013000048
2013-2014-1	10421094	线性代数(1)	2013000003
2013-2014-1	10421094	线性代数(1)	2013000008
2013-2014-1	10421094	线性代数(1)	2013000012
2013-2014-1	10421094	线性代数(1)	2013000015
2013-2014-1	10421094	线性代数(1)	2013000037
2013-2014-1	10421094	线性代数(1)	2013000031
2013-2014-1	10421075	微积分B(1)	2013000004
2013-2014-1	10421075	微积分B(1)	2013000039
2013-2014-1	10421075	微积分B(1)	2013000005
2013-2014-1	10421075	微积分B(1)	2013000002
2013-2014-1	10421055	微积分A(1)	2013000049
2013-2014-1	00690632	大学语文	2013000003
2013-2014-1	00690632	大学语文	2013000045
2013-2014-1	30510123	会计学原理	2013000035
2013-2014-1	10421055	微积分A(1)	2013000028
2013-2014-1	10421055	微积分A(1)	2013000007
2013-2014-1	10641022	学术英语听说（2）－综述	2013000039
2013-2014-1	90450051	新生血管生成及其在人类疾病中的作用	2013000044
2013-2014-1	90450051	新生血管生成及其在人类疾病中的作用	2013000014
2013-2014-1	10610183	思想道德修养与法律基础	2013000002
2013-2014-1	10641192	基础英语(1)	2013000023
2013-2014-1	10641192	基础英语(1)	2013000028
2013-2014-1	02070012	党的知识概论	2013000019
2013-2014-1	02070021	学生社会工作概论	2013000009
2013-2014-1	02070012	党的知识概论	2013000029
2013-2014-2	00510311	牛鞭效应－供应链管理入门	2013000047
2013-2014-2	00690672	《庄子》导读	2013000026
2013-2014-2	30511021	新生专题研讨	2013000017
2013-2014-2	10421065	微积分A(2)	2013000033
2013-2014-2	10720221	一年级男生体育(2)	2013000026
2013-2014-2	00701271	心理学入门	2013000001
2013-2014-2	30020682	建筑数学	2013000026
2013-2014-2	10430344	大学物理(1)(英)	2013000041
2013-2014-2	10430344	大学物理(1)(英)	2013000032
2013-2014-2	10421102	线性代数(2)	2013000047
2013-2014-2	00250131	企业信息化概论	2013000043
2013-2014-2	00690552	西方文学思潮与作品	2013000035
2013-2014-2	10610193	中国近现代史纲要	2013000021
2013-2014-2	10430484	大学物理B(1)	2013000013
2013-2014-2	10430484	大学物理B(1)	2013000050
2013-2014-2	10430484	大学物理B(1)	2013000023
2013-2014-2	10430484	大学物理B(1)	2013000027
2013-2014-2	02070071	大学生心理训练与潜能开发	2013000020
2013-2014-2	00440012	化学与社会	2013000007
2013-2014-2	10610193	中国近现代史纲要	2013000037
2013-2014-2	00780541	欧洲歌剧知识与赏析	2013000031
2013-2014-2	00450012	生态学	2013000015
2013-2014-2	30450203	生物化学(1)(英文)	2013000011
2013-2014-2	00781872	西方古典音乐文化	2013000023
2013-2014-2	00781872	西方古典音乐文化	2013000028
2013-2014-2	30020633	建筑美术（2） 	2013000026
2013-2014-2	00780091	大学生音乐知识与欣赏	2013000045
2013-2014-2	20440104	有机化学A(1)	2013000042
2013-2014-2	10421102	线性代数(2)	2013000048
2013-2014-2	00690702	1966-1976年中国文化史论	2013000049
2013-2014-2	30700313	心理学概论	2013000019
2013-2014-2	00440092	分析化学与现代社会	2013000008
2013-2014-2	00691172	佛教哲学概论	2013000009
2013-2014-2	00781912	戏曲与中国传统文化	2013000050
2013-2014-2	00781912	戏曲与中国传统文化	2013000028
2013-2014-2	10420935	数学分析(2)	2013000045
2013-2014-2	10720221	一年级男生体育(2)	2013000048
2013-2014-2	30420134	高等代数与几何(2)	2013000020
2013-2014-2	00690252	道家与玄学	2013000029
2013-2014-2	00782011	西方弦乐艺术与作品赏析	2013000047
2013-2014-2	00430093	天文学导论	2013000005
2013-2014-2	10421065	微积分A(2)	2013000029
2013-2014-2	10430782	物理实验A(1)	2013000049
2013-2014-2	00782152	西方音乐史	2013000042
2013-2014-2	10610193	中国近现代史纲要	2013000049
2013-2014-2	10720221	一年级男生体育(2)	2013000023
2013-2014-2	10421084	微积分B(2)	2013000039
2013-2014-2	10610193	中国近现代史纲要	2013000013
2013-2014-2	20440104	有机化学A(1)	2013000009
2013-2014-2	20440104	有机化学A(1)	2013000005
2013-2014-2	20440104	有机化学A(1)	2013000002
2013-2014-2	10420803	概率论与数理统计	2013000014
2013-2014-2	10430983	电磁学	2013000004
2013-2014-2	20220214	电路原理	2013000048
2013-2014-2	30450303	遗传学（英文）	2013000044
2013-2014-2	10610193	中国近现代史纲要	2013000005
2013-2014-2	30020633	建筑美术（2） 	2013000018
2013-2014-2	00750011	图书馆概论	2013000046
2013-2014-2	00700052	大学生心理健康	2013000046
2013-2014-2	10641202	基础英语(2)	2013000023
2013-2014-2	10641202	基础英语(2)	2013000037
2013-2014-2	10641022	学术英语听说（2）－综述	2013000009
2013-2014-2	40450442	种子植物分类学	2013000012
2013-2014-2	S1510031	实验室科研探究（2）	2013000039
2013-2014-2	10641012	学术英语听说（1）- 转述	2013000028
2013-2014-2	10430484	大学物理B(1)	2013000006
2013-2014-2	00690012	农民学与中国传统社会	2013000045
2013-2014-2	10641022	学术英语听说（2）－综述	2013000005
2013-2014-2	10720221	一年级男生体育(2)	2013000004
2013-2014-2	10430344	大学物理(1)(英)	2013000007
2013-2014-2	40670453	新闻摄影	2013000038
2013-2014-2	30420134	高等代数与几何(2)	2013000045
2013-2014-2	10641022	学术英语听说（2）－综述	2013000046
2013-2014-2	10421065	微积分A(2)	2013000034
2013-2014-2	40320782	核能核技术概论及认识实习(2)	2013000049
2013-2014-2	10641062	学术英语读写（1）－说明文	2013000048
2013-2014-2	00641352	欧洲文学概论	2013000018
2013-2014-2	20440201	有机化学实验B	2013000016
2013-2014-2	10421065	微积分A(2)	2013000042
2013-2014-2	20440582	无机化学	2013000040
2013-2014-2	10421084	微积分B(2)	2013000040
